id,licenseplatenumber,color,yearofproduction,price,modelid
13500,icckzxy,orchid,2003,93876,182
13501,loazcco,indigo,1995,78794,1000
13502,moipouu,azure,2015,5927,156
13503,gakopti,maroon,1997,62224,361
13504,lvniqch,turquoise,2004,34310,77
13505,xfupeqy,orchid,2008,3955,159
13506,nwfbqzl,indigo,2012,99012,667
13507,rforiyx,indigo,2002,86694,5
13508,buagyim,white,2011,43499,451
13509,xcgkfiz,orchid,2015,16564,755
13510,hhxfnwu,maroon,2011,68382,667
13511,gafceyj,blue,2012,20093,60
13512,zkmsgev,salmon,2008,81951,54
13513,nsiurdu,white,2014,97926,52
13514,nwtilcw,orange,1994,18824,103
13515,psfcago,teal,1999,26020,317
13516,aljorza,teal,1992,33695,271
13517,jocllsm,turquoise,2012,2131,658
13518,wbhwxgb,azure,2007,14997,412
13519,mgjluaw,grey,1997,87622,143
13520,dmtqdcn,green,2014,11119,395
13521,ddranir,"sky blue",1999,15304,926
13522,qkrshwz,lime,1994,41014,302
13523,rpbogza,"sky blue",1997,67852,584
13524,qgkmjnu,plum,1995,87957,588
13525,uvzznmn,green,2005,88018,124
13526,kufxpap,lavender,2006,68739,998
13527,hehgkiw,olive,2015,70631,444
13528,nqtjmzg,green,2009,75851,5
13529,qpwkfqm,silver,1996,53753,50
13530,oyvsztj,"mint green",1997,30364,533
13531,yjhdmcs,orange,1998,12596,800
13532,unmfytr,ivory,2007,45440,214
13533,riehgfk,blue,2009,54989,725
13534,mfiwszb,lime,2002,21162,128
13535,afhehaj,"sky blue",2000,32006,650
13536,zfxhdyh,"sky blue",2001,24193,704
13537,ouwekwo,violet,2011,94712,445
13538,jwnhyaj,blue,2005,85953,257
13539,gjusdef,grey,1990,93195,927
13540,rvasbrg,tan,2008,44633,18
13541,hsiahyu,lime,2005,87314,331
13542,tdoorlb,fuchsia,2000,22874,804
13543,yiizgdq,pink,2013,86349,210
13544,ckjyocc,blue,1998,95587,436
13545,gdsxicc,orchid,1991,57330,988
13546,izaqsvi,olive,1994,36840,479
13547,uarefom,orchid,1998,32229,85
13548,umxcfyc,plum,2007,44716,7
13549,halkfsk,salmon,2002,89384,64
13550,wzupzac,white,1996,40086,499
13551,geefelf,yellow,1997,83806,92
13552,quwfacz,fuchsia,2004,42911,690
13553,udmgaoi,pink,2008,10860,566
13554,dgxkqbj,plum,2000,45326,531
13555,vxzcndw,pink,2015,13635,805
13556,jnllfsw,salmon,2015,84462,101
13557,sxhzbrv,violet,2009,30084,71
13558,otowfbu,fuchsia,2000,48407,846
13559,vlkxirj,purple,2005,24872,806
13560,ziajcfl,"mint green",1997,64441,49
13561,zleygzi,olive,2005,39429,145
13562,tgtsktf,grey,2003,95434,489
13563,oohwlyi,orange,1997,74772,779
13564,ieqtnqn,ivory,2011,7702,73
13565,bebqrlv,teal,2015,33265,262
13566,moznxbc,orchid,2000,87316,787
13567,jwawqdu,blue,2013,86376,963
13568,kwirbsk,orchid,2013,39077,616
13569,xnrhjxl,grey,1991,26674,767
13570,wwqxnkp,turquoise,2006,40196,600
13571,zdmxaan,yellow,2004,97355,540
13572,sihjyjg,yellow,2006,47171,921
13573,xohgghl,plum,1992,89130,682
13574,totvnpi,green,1993,80489,632
13575,ubfhouf,orchid,1995,52374,657
13576,pmrbgac,turquoise,2011,39758,375
13577,jqfowgp,maroon,2002,41737,235
13578,nzgceia,lime,1992,69666,540
13579,efflmie,ivory,1994,36301,347
13580,bjgnqka,salmon,2008,58175,624
13581,bozsknd,green,2004,82726,538
13582,rsngagp,orange,1997,10483,266
13583,dhrkvig,maroon,1999,34796,777
13584,ajwrknm,gold,1993,27304,494
13585,fcopwxy,lime,1993,29360,160
13586,gtyskon,gold,2015,21285,199
13587,movrojy,orchid,2002,11151,728
13588,huhpwdl,plum,2017,87097,639
13589,ijaxcte,grey,2006,45647,726
13590,opbvjzm,ivory,1994,20183,578
13591,aypvqys,orchid,2014,59915,271
13592,imlekvj,violet,2011,47339,460
13593,wurjuvn,maroon,2002,19948,898
13594,ytxuxob,green,2005,86757,444
13595,bctvgyu,lavender,2015,41239,586
13596,bhtgwhx,pink,2000,54289,275
13597,nebanej,lime,2011,49921,829
13598,tagkxns,lavender,2017,79091,190
13599,dudfacv,azure,1994,43631,883
13600,tunmddk,yellow,2016,77218,341
13601,mgpozpf,fuchsia,2000,9056,130
13602,nfixqjl,grey,2010,80773,287
13603,rmidncd,teal,2012,35997,857
13604,ofdliuz,orchid,2005,37389,471
13605,dutewrp,violet,1993,4851,246
13606,lgiqohz,turquoise,1993,52214,584
13607,tmgtofa,violet,2012,90753,745
13608,piafktl,green,2016,66418,923
13609,sztudiv,orange,1996,59140,255
13610,cowkjzw,purple,1994,77451,816
13611,htlsnqq,black,1999,4086,143
13612,lwwbftj,yellow,2017,86635,209
13613,riyylps,orchid,2009,24542,117
13614,vazhoeg,salmon,1996,46303,707
13615,ricolvq,pink,2007,65189,256
13616,nppiatr,violet,1995,9806,179
13617,szaqqhm,black,2011,76051,470
13618,ulyyxap,ivory,2001,87594,406
13619,eodcljc,orchid,2003,80632,937
13620,tltqxwz,lime,1992,40485,250
13621,ydxvqgx,"mint green",2013,51942,376
13622,ogwqmnv,yellow,2000,37962,376
13623,maapcpm,magenta,2008,14459,539
13624,zgdkkgm,red,2006,69105,529
13625,blfszyh,yellow,2007,17216,629
13626,ofdcofn,lime,1998,86869,944
13627,zmdpziu,black,2012,63308,305
13628,vutmgrk,grey,1991,77537,352
13629,vpgukzq,salmon,2016,68280,443
13630,bzzfdjp,pink,1999,16720,722
13631,vxutmxo,white,2004,67954,46
13632,rmtkvjx,grey,1991,39790,530
13633,luokkoe,tan,2004,86375,98
13634,kzcdmgb,pink,2008,53077,88
13635,kgwycyf,green,2013,46259,776
13636,aivynxv,teal,2013,60384,895
13637,dmgtnyc,salmon,2004,10429,723
13638,itsjixe,magenta,2005,43580,123
13639,bzpnkiz,violet,2006,49086,885
13640,yezeazz,grey,2006,18821,982
13641,vfontbp,lime,2016,96526,264
13642,rcuygjm,grey,2017,63201,638
13643,ebtpzsy,green,1993,97364,237
13644,bneaymj,teal,1996,96296,976
13645,lpgmrqa,teal,2002,84909,280
13646,nxioanx,lime,2009,91691,789
13647,kgrwjev,red,1992,4346,494
13648,etsagrf,blue,2013,83162,760
13649,fotppmr,tan,2000,72247,642
13650,vgqeerv,yellow,2007,88374,567
13651,xsbttxy,lavender,2010,74169,750
13652,eyhsyit,gold,2003,78299,750
13653,jndkpwd,pink,1996,89828,736
13654,nyrbypc,plum,2003,79535,533
13655,mhtfkov,silver,2003,89990,873
13656,bmwzdyl,olive,2005,76596,5
13657,uiynxko,teal,2012,74083,100
13658,lxtkmyl,purple,2001,44599,943
13659,ecqoukq,green,2002,90968,490
13660,bzjxhai,lavender,2010,58969,318
13661,bjjxctb,magenta,1990,48502,431
13662,btsivwo,maroon,1990,87572,52
13663,uexhuef,yellow,1994,19835,416
13664,kuynrxs,blue,2010,36739,367
13665,jzizeeq,yellow,2009,91180,229
13666,xowvfrt,red,1996,23790,573
13667,cmclxqb,purple,2005,7293,256
13668,tpeicqg,azure,2003,23788,305
13669,itclvur,orchid,1995,30721,253
13670,mqdyaxd,turquoise,2007,4501,210
13671,yzerizw,orange,1991,63575,34
13672,zuqkzbe,lavender,2014,10974,9
13673,paygevg,ivory,2001,29713,120
13674,mbwszqq,purple,1995,53989,382
13675,smediaa,purple,1996,63094,460
13676,kyeconl,azure,2002,98087,64
13677,lfnbyob,gold,2015,63845,454
13678,pdlrodc,turquoise,1997,61959,235
13679,ebcezxo,indigo,2003,70084,30
13680,izsjldu,violet,2013,66166,728
13681,evhjvyl,grey,1995,69772,130
13682,ismcfql,magenta,1996,61805,987
13683,iwvtibi,red,2005,7853,693
13684,irgvcfi,yellow,2010,85614,174
13685,bmyaxvc,pink,2008,96192,942
13686,tveeygn,yellow,2004,28431,824
13687,vaomcxe,maroon,1999,65347,184
13688,ggftfub,silver,1993,10371,98
13689,xhybkno,fuchsia,2000,6714,202
13690,eqwwrml,purple,2016,16431,856
13691,dheplwx,tan,2007,5614,374
13692,qwalwvz,grey,2003,83376,958
13693,frtjzmz,purple,2006,15827,32
13694,tsppgqf,green,2003,56052,338
13695,ongpqls,yellow,2013,5159,705
13696,rmxzsig,cyan,2007,39296,564
13697,msjwzpw,"sky blue",2001,82633,737
13698,eeqbopp,maroon,2014,53616,777
13699,dxyqciv,purple,1995,26427,553
13700,xuqzbio,silver,2012,34614,15
13701,erblqpv,yellow,1996,13399,68
13702,osozuey,magenta,1995,61413,36
13703,wcnqckl,blue,2010,74415,449
13704,nmyvvnr,lime,2006,81403,190
13705,yjsxqym,lavender,1992,7153,505
13706,jbpmhzv,salmon,2014,70909,426
13707,domctkt,ivory,1993,4450,263
13708,wvrrrba,plum,1993,43428,250
13709,hlzhgtu,ivory,1995,69061,124
13710,hsyyffm,ivory,2016,39554,257
13711,mqxvjah,purple,2011,81677,312
13712,fplrpqx,violet,1994,43979,641
13713,ppwmmbn,indigo,2013,57804,75
13714,rssatpn,violet,2006,92364,924
13715,sdzopfs,orchid,2004,18269,973
13716,mwiljkw,silver,2007,67997,873
13717,xeyowhz,green,2006,80206,658
13718,hzoblca,"sky blue",1996,24531,627
13719,xstqket,silver,2006,88416,957
13720,pokafzq,gold,2002,49813,134
13721,whvieze,olive,2015,46657,952
13722,romqurc,magenta,1994,45353,139
13723,zpkgssv,azure,2015,93693,551
13724,epqyjwt,cyan,2004,55827,256
13725,npwhjsw,grey,1991,94383,998
13726,tirmgic,pink,2012,81286,158
13727,lvbysub,lime,2003,30857,455
13728,tizcymb,indigo,2000,49962,375
13729,txvkbrf,indigo,1995,38781,731
13730,adsjfgr,"sky blue",2001,75183,741
13731,nraznop,cyan,2009,53496,228
13732,zxmtmpy,indigo,1994,70234,136
13733,glslepk,lavender,2000,27877,368
13734,wnlolus,grey,2003,79638,843
13735,apwqohn,ivory,2008,40240,922
13736,eynhdab,turquoise,1998,69189,617
13737,vejjgit,cyan,1995,74894,80
13738,nqdkwwv,salmon,2005,40163,69
13739,hugvkwz,pink,2002,74033,534
13740,euzruki,olive,1995,62137,514
13741,alunhpy,orange,2004,42943,544
13742,plbdzbr,indigo,2001,7963,201
13743,lzgbllo,orchid,2012,55898,835
13744,hxuspqd,silver,2000,23782,26
13745,asqzetq,silver,1992,73696,532
13746,udbwmgf,violet,1993,87933,220
13747,tjzrwzx,lime,2016,43492,898
13748,tbgwugt,azure,2010,52580,91
13749,purpdwv,pink,2011,93267,106
13750,povdhwv,yellow,1998,12027,995
13751,svowoxs,cyan,2001,6524,217
13752,zlkyptv,white,1992,83448,979
13753,tcdtrmj,grey,2008,4061,190
13754,spaiksa,azure,1992,74145,558
13755,inqwzat,ivory,1999,50267,534
13756,smcsjev,"mint green",1999,99867,793
13757,yjgxkzb,orchid,2008,39806,22
13758,fzmjqcv,grey,2010,16829,927
13759,jelggjh,plum,2016,65318,430
13760,segegqv,magenta,2007,5150,353
13761,mknpwet,purple,2012,81954,654
13762,pplftbc,"sky blue",2010,68360,766
13763,urmpycm,black,2002,5740,362
13764,iutacit,lavender,2007,82008,56
13765,yfmwfsu,"mint green",2012,63396,464
13766,gtgrxen,gold,2012,60323,648
13767,hximeiu,magenta,1996,67720,283
13768,znoabms,orange,2005,48792,891
13769,gghybtl,teal,1997,52303,782
13770,yglodad,grey,2004,22221,462
13771,smmkdwn,orange,2003,80369,340
13772,vnfybfn,ivory,2011,27303,778
13773,mhpjpal,green,1991,65271,784
13774,ajsvlni,olive,1993,68033,386
13775,rzbpzor,yellow,2007,25450,667
13776,ydgajwy,purple,2004,36513,992
13777,tbdstak,yellow,1994,31113,845
13778,hpfituk,lavender,2001,97858,127
13779,vryyfff,white,2015,18746,30
13780,rshwbbz,salmon,1997,36721,404
13781,bmdlvks,black,1996,63083,500
13782,xwqqdoy,red,2003,58731,330
13783,syrsoaj,pink,1999,4744,975
13784,wztblvd,maroon,2004,87106,885
13785,arxsjgf,lime,2007,54372,881
13786,jxucxxu,"mint green",2002,44925,92
13787,mkyfqgb,tan,2004,12391,934
13788,xnxvubm,fuchsia,2002,66650,359
13789,cgtqcft,magenta,1990,61306,925
13790,cdlyadw,tan,2011,89357,608
13791,rlcamse,olive,1999,14913,863
13792,yspxiiu,silver,2009,57243,565
13793,rgyagmt,silver,2001,10755,972
13794,wcvjmsw,indigo,2013,12350,83
13795,bzjgtyk,plum,2006,80230,36
13796,unbcrnb,black,2013,65709,670
13797,gdhwjvp,cyan,1993,84431,409
13798,ecwwpyk,pink,2014,59683,963
13799,xsjqmpt,purple,2009,8355,679
13800,nbccwid,orchid,2016,76481,288
13801,lpirrtz,blue,1999,27624,316
13802,bpdkmpd,maroon,1995,81272,927
13803,jfgpuwd,orange,1994,94597,789
13804,ttgsspv,magenta,1991,10137,649
13805,aivioya,orchid,1997,17008,140
13806,oiseeit,azure,2004,71076,171
13807,mswtrbc,"sky blue",2009,21439,809
13808,xtxrjps,pink,1998,82707,462
13809,msvcnep,indigo,2003,82856,55
13810,kcjotne,"sky blue",2015,3343,844
13811,uwoaqfj,salmon,2002,66112,606
13812,hejwvsz,lime,2014,88181,847
13813,fkkzcdo,green,1997,86376,323
13814,zzjllij,magenta,2001,75582,392
13815,dispetq,red,2001,74336,86
13816,zhwrwbu,orchid,2005,62882,585
13817,xawwirj,ivory,2016,25826,512
13818,pqqwmys,azure,2010,41275,497
13819,hwyuxgx,green,2017,12838,932
13820,dcdtxcu,ivory,2000,47406,686
13821,aenydqg,black,1999,3042,377
13822,oeovxbv,"mint green",1993,26197,50
13823,orlokpr,lavender,1995,38923,791
13824,rymzrdj,silver,2003,5785,543
13825,wfkxfyg,gold,2002,41984,33
13826,fuhlpey,lime,2014,74783,486
13827,fkfhmkm,lavender,1999,65477,946
13828,syrrord,plum,1991,64978,893
13829,omtcedi,grey,2011,96431,569
13830,tibdwxh,violet,1992,40292,511
13831,ulkjoke,gold,2010,7567,557
13832,extzkct,olive,1996,23791,21
13833,kcgesqs,pink,1996,36785,611
13834,cdjgwwl,white,1992,7555,281
13835,xnyrxun,black,2017,56970,672
13836,leqxsml,maroon,1999,52703,322
13837,ooqqirg,azure,2016,45796,29
13838,yihbmwm,red,2012,91889,83
13839,mfzpvud,lavender,2016,27977,189
13840,nzqocbv,lavender,2015,36710,553
13841,qpthuvr,tan,2006,16674,543
13842,uinoscm,orchid,2009,19582,294
13843,hcmdzhp,lavender,2001,13682,543
13844,gbhbgfs,maroon,2013,51169,850
13845,hxvtufj,green,1994,8454,637
13846,ceyyovx,cyan,2001,94950,970
13847,prxjzot,pink,1998,27461,877
13848,zluussk,maroon,2003,6889,712
13849,basvons,salmon,1993,37763,318
13850,qqighsk,ivory,1999,70672,724
13851,dkgtsyn,purple,2017,81846,751
13852,dhrwizz,lavender,2013,32531,656
13853,koosdqs,black,2012,25947,224
13854,qqnanvx,purple,2003,16392,566
13855,mwqrwyo,salmon,1998,79966,478
13856,koggndd,yellow,2011,20306,184
13857,fkvdlhi,grey,1999,38352,687
13858,qbhrete,yellow,2006,53540,808
13859,icnwfao,lavender,2015,46413,915
13860,dbuddic,azure,2013,21051,2
13861,cgmwygg,green,2000,78517,534
13862,hbgicha,fuchsia,2004,33876,229
13863,mophnjn,grey,2002,85520,723
13864,ptcfmlu,yellow,2004,61498,304
13865,rthuqgy,black,2008,38358,225
13866,plgyljh,salmon,2014,22029,717
13867,mxamwuj,yellow,1994,40437,817
13868,clodrlk,fuchsia,2001,19220,687
13869,miuaxxz,fuchsia,2003,29710,791
13870,ijsusox,magenta,2003,69369,589
13871,glmutxd,orchid,2015,15681,755
13872,ufbasvq,plum,2017,17635,960
13873,bpswuvf,green,1994,70764,965
13874,rhjsnjg,red,1991,38982,895
13875,hiycsdl,azure,1998,86149,370
13876,asmfrti,magenta,2015,62872,60
13877,dzvupoc,cyan,2017,88129,896
13878,aqgfsto,white,2017,73099,819
13879,lmanndt,orange,2006,13716,184
13880,alfascb,violet,2016,36352,579
13881,yppqzma,"sky blue",1997,82703,800
13882,lhdkzpc,tan,2012,17531,982
13883,yowxvob,green,2015,50202,613
13884,kkeaybx,"sky blue",1999,80942,226
13885,omnmmzj,lime,1998,16687,735
13886,uztlzls,yellow,2000,78024,266
13887,rdpvofr,azure,1991,50570,103
13888,mkrqdnc,purple,1992,18928,624
13889,krvkjnx,turquoise,1995,89492,284
13890,thvxwao,ivory,2004,62649,219
13891,kchqcqo,purple,2012,81015,444
13892,pwaunjw,tan,2004,64838,8
13893,kykftyx,olive,2002,82402,584
13894,fbpxinp,grey,2014,37378,441
13895,zqsvfig,orchid,1994,11596,501
13896,hhckups,orchid,2016,8475,39
13897,korltrw,grey,2009,83543,599
13898,wimawxd,teal,2005,81720,354
13899,ywmtxeh,green,1997,30260,932
13900,kkzqegs,grey,2006,18990,940
13901,wuxtdkr,magenta,2015,5507,527
13902,qlrpqei,azure,2001,70731,852
13903,tkbspue,red,2015,34338,104
13904,ftldgxm,silver,2016,37500,225
13905,isifjiq,maroon,2003,97920,931
13906,arfiwne,orchid,1999,78507,906
13907,oosljth,teal,2002,24508,643
13908,iryqgyu,fuchsia,2017,29103,481
13909,fxgaduo,yellow,1994,44169,38
13910,grrcsff,olive,1996,9145,466
13911,ofxjdmm,lime,1990,14239,584
13912,pnqlkac,violet,1999,42445,347
13913,jwjafyb,green,2015,4121,376
13914,oldcmye,green,1995,99317,149
13915,htsqaqp,gold,1992,60459,203
13916,wrwvdkt,cyan,1999,29883,273
13917,iivlnpe,silver,2004,96054,50
13918,gsmiehl,blue,2007,3745,640
13919,vkufauo,violet,1991,31653,91
13920,tmkljvt,silver,2009,65302,954
13921,tdspmwb,red,1995,52098,508
13922,tvonlrw,salmon,1997,91822,70
13923,vlhxvig,white,2015,74141,77
13924,hjyaqdp,orchid,2010,80534,981
13925,uolrpdo,gold,2002,80249,684
13926,deuyihs,red,1999,58037,330
13927,bffzllx,magenta,2001,73548,386
13928,ezniqtp,purple,2005,94598,59
13929,foduxhr,green,2008,73555,565
13930,semosqh,"mint green",1997,14954,562
13931,nawscqy,orange,2009,7910,990
13932,svnivyi,grey,2001,80514,829
13933,ihfzugc,orchid,1991,92240,375
13934,cmscfrd,orchid,2015,29482,785
13935,lhcedhr,orchid,2017,96443,86
13936,vbqpqml,purple,2014,40670,817
13937,nxrhhum,"sky blue",2005,19150,447
13938,hmgcgye,violet,2008,74322,284
13939,gzojejh,olive,2007,65905,660
13940,pkqkrpd,maroon,1996,59746,844
13941,pbswuhn,ivory,1990,57682,385
13942,ynoxlnm,black,2011,49617,972
13943,inuvxxx,lime,2009,2625,743
13944,dvgbbiw,maroon,2010,35262,414
13945,wrunshn,gold,2015,57118,10
13946,dmdyhly,turquoise,2014,21937,240
13947,lribrye,fuchsia,1992,13461,8
13948,eiulevo,violet,2001,10206,68
13949,cfqpjwg,orange,1998,75201,766
13950,oiptwyi,yellow,1992,17555,73
13951,iupnmpb,fuchsia,2006,3294,730
13952,oqwtdwf,violet,2005,95951,165
13953,cqsuyar,orange,1990,49859,232
13954,iectksu,ivory,1997,72512,36
13955,sdzqgkm,white,2004,24848,167
13956,woqlhyb,cyan,2015,97238,530
13957,amcrihm,"sky blue",2006,66729,478
13958,jalbxof,fuchsia,2005,39822,35
13959,vwgoraw,lime,2012,52897,597
13960,vpyzjqs,orchid,1994,64167,788
13961,ipaxgor,red,1999,30412,998
13962,lxikpxy,olive,1996,57928,853
13963,gwsghcu,orange,2011,57503,938
13964,vinrrpj,violet,2006,12496,162
13965,exqjgxp,white,2010,6349,100
13966,wqwtfho,blue,2010,79759,551
13967,oapwheo,"mint green",1993,48858,28
13968,onnutuw,blue,1999,77598,931
13969,ggruitc,gold,2000,92268,153
13970,mqgmhha,ivory,1996,54593,579
13971,fnsqflx,purple,2012,97150,44
13972,vnxftsh,gold,2001,4821,835
13973,vqtkslu,plum,2006,57736,849
13974,okpsngh,orange,1999,90572,203
13975,vytirwy,orchid,2017,94868,881
13976,kjvgvll,violet,2007,51163,133
13977,lecashb,tan,1997,79151,367
13978,uknwpdp,yellow,2011,47241,995
13979,wxwueou,indigo,1993,73604,100
13980,lrqujfa,gold,1994,17488,992
13981,ylqhwan,black,2003,20696,881
13982,djmmsmt,violet,1992,9710,465
13983,cjyecqt,fuchsia,1993,87663,579
13984,wuzccqq,fuchsia,1991,92440,504
13985,zhkgvnq,orchid,1998,63053,543
13986,vokjyoe,turquoise,2004,61354,45
13987,qjpntoa,yellow,2001,6348,699
13988,sldzcnj,lavender,2014,21303,973
13989,ozozmwz,azure,2006,54946,46
13990,xntspor,orange,2013,20271,147
13991,eetuhto,blue,2000,33533,646
13992,htojbag,black,1994,46184,268
13993,tssriot,"mint green",2015,46533,723
13994,cxwyskm,red,2001,85232,856
13995,qbaxgug,indigo,2003,28962,176
13996,dvavywp,"mint green",1991,9912,423
13997,cbufzyr,green,1994,95969,666
13998,jthkzrs,tan,1996,50131,721
13999,qspbntb,orchid,2000,73998,248
14000,lnjsxow,red,2010,9621,739
14001,tsyzsdv,"sky blue",2004,82313,981
14002,fzqqaoi,cyan,2013,50584,11
14003,ujgrmri,lavender,2017,56669,478
14004,tmdhyue,lavender,2006,12649,823
14005,cwjjzya,green,2013,21575,641
14006,iqkdjig,blue,1994,73735,421
14007,pblajdl,gold,1997,35654,43
14008,tnaixry,cyan,2009,41009,255
14009,siihnzc,yellow,2001,69804,789
14010,vmnusil,orange,2004,41975,16
14011,cyminwm,teal,2014,26461,728
14012,javgoqe,cyan,2015,5015,717
14013,ihjtudc,magenta,1998,79838,294
14014,plnvayu,orchid,1994,52313,888
14015,qgjiykc,tan,2006,59725,638
14016,juoyome,grey,2016,37552,774
14017,ichdvrs,maroon,1992,14010,515
14018,cpkrjvq,orange,2011,82396,774
14019,tdzvssn,"mint green",2004,34532,897
14020,revgnug,plum,2010,38286,936
14021,fhtepsg,"mint green",2014,36057,561
14022,dksttsy,gold,1998,18102,961
14023,ktgqlrd,white,1998,64879,338
14024,idhspah,tan,2008,89792,443
14025,rbzuvde,"sky blue",2010,88459,473
14026,faqgdxw,orchid,2000,8988,556
14027,rdsspau,grey,1991,98058,71
14028,vcuojny,tan,1994,46062,519
14029,mxdkzgw,cyan,1994,74029,624
14030,rbmxypx,turquoise,2017,88128,63
14031,dpmnfmg,green,1995,7072,283
14032,jngxnwl,orange,1992,61182,804
14033,wjutvgz,white,1992,94888,694
14034,vlqepxt,orange,2006,36860,555
14035,cowqtdo,grey,2012,41261,394
14036,ixdupfo,plum,2006,2053,304
14037,eaidnuz,teal,1994,20949,597
14038,bpjojub,teal,2014,34400,301
14039,vlkqnue,fuchsia,2000,65817,476
14040,hhaxxvo,red,1998,58619,236
14041,xfhpbkg,magenta,2012,57114,744
14042,dvyypll,salmon,2003,91987,909
14043,xkqnwia,red,2016,84884,949
14044,irjzsnx,tan,2001,85376,670
14045,mbzsrzs,white,2009,15780,320
14046,laqsdup,yellow,2007,44630,434
14047,zokmujv,fuchsia,1992,63807,660
14048,aqabazx,plum,1992,96546,519
14049,udreuou,black,1993,67326,621
14050,vnqxogt,fuchsia,2002,37244,705
14051,vmtijwp,ivory,2014,99271,676
14052,drbmveo,gold,2012,47896,866
14053,vrhkwbg,olive,1991,38440,875
14054,emvypwp,lavender,1992,65149,509
14055,pgdsfuy,cyan,2010,96772,315
14056,fjuktcx,ivory,1994,70981,458
14057,iqldbvu,teal,2010,39110,727
14058,ywratri,white,1999,9566,176
14059,bteposu,yellow,2014,85218,466
14060,izikure,violet,2014,85136,62
14061,kxqsibn,olive,2015,14366,416
14062,porkecc,lime,2009,71712,968
14063,tqlvpfb,turquoise,1999,23226,675
14064,wxbtzvv,plum,2006,30939,453
14065,ziisrku,olive,2008,60569,307
14066,waeqtxb,lime,2013,57764,260
14067,pgadmdw,gold,2011,78189,58
14068,mkqaayg,silver,1998,89667,318
14069,mmdpwdd,magenta,2009,46808,305
14070,bphvmcg,orange,1992,3132,399
14071,iwtspfx,tan,2007,64586,368
14072,oztnpzd,tan,1991,96736,992
14073,wujabic,"sky blue",1995,59691,133
14074,apmkekx,magenta,2002,10111,220
14075,sasatwi,"mint green",1994,78204,25
14076,gydpjov,gold,2000,8305,341
14077,ebmozcj,green,1994,40242,851
14078,tskvbti,lime,2016,6727,451
14079,vjbcime,"mint green",2017,14738,394
14080,oglhkzu,yellow,2009,24863,648
14081,pletcyj,red,1993,62931,14
14082,wyjnhzf,lime,1999,67271,658
14083,gubpoov,violet,2009,43586,885
14084,heupcxd,indigo,2000,63444,787
14085,hnoqodj,silver,2001,19373,548
14086,qpqncyg,salmon,2016,96479,252
14087,dekfjpf,ivory,2009,76824,992
14088,thgzexa,olive,2006,61679,40
14089,fokqgir,"sky blue",2010,56544,752
14090,zfdqkcy,orchid,1991,72588,585
14091,cnsbjqq,red,1996,80370,544
14092,ygtjtmy,"mint green",2014,44644,320
14093,diaeyvv,"sky blue",2014,62784,506
14094,jjyvsmn,azure,2010,14045,822
14095,bymbvuk,pink,2008,24593,609
14096,xffadxu,violet,1991,61558,755
14097,cnbxilm,ivory,1992,78942,911
14098,vqtwkep,blue,2001,84351,140
14099,nqwpdfg,azure,1999,70719,175
14100,kjwlegb,"mint green",2007,92505,590
14101,woxpspg,silver,2009,22762,750
14102,fwcouvj,black,1996,15781,369
14103,itifvwj,orchid,2007,88340,733
14104,ptyeomx,purple,1990,52274,954
14105,zfqzehz,red,1992,26616,461
14106,neiyaer,"sky blue",2003,43658,422
14107,qjwdaqi,azure,1993,37321,122
14108,ofquauu,blue,2012,4343,354
14109,pqkkwwt,"mint green",2013,36205,900
14110,zdjirtw,orange,1997,55686,282
14111,iwceyxv,silver,1993,67423,793
14112,jouovpy,plum,2008,9293,915
14113,kcqvfpl,salmon,2014,41072,566
14114,yilbfhn,silver,1994,92173,759
14115,zadyfmx,fuchsia,2003,17250,620
14116,mruhhyp,fuchsia,2004,74417,712
14117,ldodjqj,fuchsia,2004,32834,699
14118,qrzichj,violet,2003,38044,135
14119,hfrdrwe,azure,1995,92234,477
14120,mnvzejt,purple,2014,99966,635
14121,mvwqmmr,red,1991,48032,789
14122,rrncpvs,magenta,2006,22417,785
14123,oagcchq,pink,2002,73859,36
14124,ktvdrpf,red,2001,60569,722
14125,zkvufeg,orchid,2017,42615,250
14126,vnbwkmc,purple,2012,6834,947
14127,avdcrpk,purple,2012,34422,77
14128,xxwkyvn,fuchsia,2003,48051,551
14129,tepiihe,orange,2015,22599,950
14130,ogvqbvb,teal,2015,30352,866
14131,krgyadu,turquoise,1997,55437,189
14132,bqwxvjp,plum,1992,20070,993
14133,upogjwv,blue,2006,52703,847
14134,dwzbazb,"mint green",1999,42112,904
14135,vyrxhrc,black,2000,94500,871
14136,fxarysq,olive,2016,16829,274
14137,aoewypj,olive,1992,43111,641
14138,eoksrfx,blue,1992,72074,342
14139,fbxtzxo,turquoise,1992,79506,254
14140,fsaixjk,olive,2005,55437,126
14141,vebyohs,blue,2010,86346,983
14142,hxmdtdl,azure,2009,7396,70
14143,iebhyaa,lime,2008,14218,841
14144,gsoyxdd,yellow,1998,66916,191
14145,pfbedrj,green,2010,54482,715
14146,fbrhucd,"sky blue",1994,24414,347
14147,lhlcamf,silver,1992,52293,375
14148,giiochr,black,1992,33952,357
14149,lybfhmm,green,2007,95515,215
14150,ekpxklk,gold,2011,65267,28
14151,sckxpnv,grey,1992,62056,812
14152,lvcgarz,yellow,2003,4444,726
14153,tomjplt,white,2005,36638,879
14154,sehatyo,salmon,1995,13340,943
14155,tahlrxy,"sky blue",1996,23748,760
14156,zkhbszj,tan,2004,33761,945
14157,rqbbvcy,maroon,2009,89889,951
14158,lejptuv,turquoise,1991,8703,857
